#Entity   POWER             TOTEC                   TXTPT          RXTPT          GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID         W                 mJ                     KB/            KB/                                                                                                                                                                                                                                                                        
GPU 0     64.187            1269376521              N/A            N/A            23                2                 0.221        0.099        0.041        0.011        0.019        0.000        0.010        0.000        9259654                     51972726                    0                           0                           
GPU 1     50.646            920930832               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        953479                      817718                      0                           0                           
GPU 2     54.795            999237786               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        908433                      801173                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        82471                       297487                      0                           0                           
GPU 4     56.521            1030069014              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        963007                      836988                      0                           0                           
GPU 0     63.899            1269440413              N/A            N/A            22                2                 0.222        0.099        0.041        0.011        0.019        0.000        0.010        0.000        8434713                     51064368                    0                           0                           
GPU 1     50.646            920981629               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        240056                      274078                      0                           0                           
GPU 2     54.795            999292718               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        237886                      272892                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        68878                       259719                      0                           0                           
GPU 4     56.521            1030125718              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        246399                      280191                      0                           0                           
GPU 0     64.433            1269504263              N/A            N/A            22                2                 0.220        0.099        0.041        0.011        0.019        0.000        0.000        0.000        8477679                     50973544                    0                           0                           
GPU 1     50.646            921032444               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        294458                      287470                      0                           0                           
GPU 2     54.795            999347665               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        284164                      278109                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        87031                       247472                      0                           0                           
GPU 4     56.521            1030182411              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        336733                      310657                      0                           0                           
GPU 0     63.899            1269568369              N/A            N/A            22                2                 0.221        0.099        0.041        0.011        0.019        0.000        0.010        0.000        8517810                     51341601                    0                           0                           
GPU 1     50.646            921083198               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        244835                      275020                      0                           0                           
GPU 2     54.795            999402626               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        248741                      276820                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        67036                       256326                      0                           0                           
GPU 4     56.521            1030239119              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        251560                      279348                      0                           0                           
GPU 0     64.672            1269632406              N/A            N/A            3                 2                 0.118        0.097        0.041        0.011        0.013        0.000        0.010        0.000        5369689                     35008850                    0                           0                           
GPU 1     50.646            921133934               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        283938                      299207                      0                           0                           
GPU 2     54.795            999457618               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        311022                      319221                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        70986                       269431                      0                           0                           
GPU 4     56.521            1030295862              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        308665                      320856                      0                           0                           
GPU 0     63.899            1269693686              N/A            N/A            23                2                 0.028        0.022        0.013        0.002        0.011        0.000        0.005        0.000        4004685                     32015223                    0                           0                           
GPU 1     50.646            921184742               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        258510                      264738                      0                           0                           
GPU 2     54.795            999512590               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        300306                      284298                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        64273                       241359                      0                           0                           
GPU 4     56.521            1030352589              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        260445                      266731                      0                           0                           
GPU 0     63.126            1269755344              N/A            N/A            23                2                 0.209        0.099        0.041        0.011        0.019        0.000        0.010        0.000        8213401                     50661078                    0                           0                           
GPU 1     50.646            921235559               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        260144                      284769                      0                           0                           
GPU 2     54.795            999567544               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        268139                      289005                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        48215                       254292                      0                           0                           
GPU 4     56.521            1030409289              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        307126                      316156                      0                           0                           
GPU 0     63.126            1269819300              N/A            N/A            22                2                 0.222        0.099        0.041        0.011        0.019        0.000        0.010        0.000        8497963                     51322830                    0                           0                           
GPU 1     50.646            921286287               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        233654                      267203                      0                           0                           
GPU 2     54.795            999622498               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        248195                      275150                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        58480                       269769                      0                           0                           
GPU 4     56.521            1030466003              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        216273                      257481                      0                           0                           
GPU 0     62.600            1269883122              N/A            N/A            22                2                 0.220        0.000        0.000        0.000        0.019        0.000        0.010        0.000        8688139                     51134638                    0                           0                           
GPU 1     50.646            921337105               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        427544                      412449                      0                           0                           
GPU 2     54.795            999677453               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        456230                      428173                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        63486                       280187                      0                           0                           
GPU 4     56.521            1030522687              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        409039                      392007                      0                           0                           
GPU 0     62.121            1269947215              N/A            N/A            23                2                 0.223        0.100        0.042        0.011        0.019        0.000        0.010        0.000        8551191                     51675479                    0                           0                           
GPU 1     50.646            921387936               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        241448                      266145                      0                           0                           
GPU 2     54.795            999732407               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        215476                      249675                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        102605                      268855                      0                           0                           
GPU 4     56.521            1030579411              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        253999                      275031                      0                           0                           
GPU 0     62.360            1270011356              N/A            N/A            23                2                 0.223        0.101        0.042        0.012        0.019        0.000        0.010        0.000        8483169                     51271847                    0                           0                           
GPU 1     50.646            921438772               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        198603                      252908                      0                           0                           
GPU 2     54.795            999787406               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        306180                      316961                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        80532                       263992                      0                           0                           
GPU 4     56.521            1030636121              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        310302                      320271                      0                           0                           
GPU 0     63.899            1270075101              N/A            N/A            22                2                 0.224        0.100        0.042        0.011        0.019        0.000        0.000        0.000        8696489                     51835554                    0                           0                           
GPU 1     50.406            921489582               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        303896                      288085                      0                           0                           
GPU 2     54.795            999842321               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        260887                      266894                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        77181                       242901                      0                           0                           
GPU 4     56.587            1030692815              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        299781                      288004                      0                           0                           
#Entity   POWER             TOTEC                   TXTPT          RXTPT          GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID         W                 mJ                     KB/            KB/                                                                                                                                                                                                                                                                        
GPU 0     64.187            1270139117              N/A            N/A            23                2                 0.223        0.098        0.041        0.011        0.019        0.000        0.011        0.000        8537069                     51396549                    0                           0                           
GPU 1     50.646            921540409               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        307362                      317318                      0                           0                           
GPU 2     54.795            999897266               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        304809                      315613                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        59375                       268808                      0                           0                           
GPU 4     56.521            1030749507              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        285929                      304873                      0                           0                           
GPU 0     62.887            1270203135              N/A            N/A            3                 2                 0.223        0.098        0.041        0.011        0.019        0.000        0.011        0.000        8537069                     51396549                    0                           0                           
GPU 1     50.646            921591224               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        307362                      317318                      0                           0                           
GPU 2     54.795            999952208               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        304809                      315613                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        59375                       268808                      0                           0                           
GPU 4     56.521            1030806200              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        285929                      304873                      0                           0                           
GPU 0     57.976            1270264265              N/A            N/A            22                2                 0.084        0.032        0.015        0.004        0.012        0.000        0.010        0.000        4737835                     33023609                    0                           0                           
GPU 1     50.646            921642048               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        241959                      266709                      0                           0                           
GPU 2     54.795            1000007078              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        287651                      297249                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        67267                       286275                      0                           0                           
GPU 4     56.521            1030862935              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        308372                      308318                      0                           0                           
GPU 0     62.887            1270326262              N/A            N/A            23                2                 0.070        0.056        0.024        0.006        0.011        0.000        0.004        0.000        4446712                     31227687                    0                           0                           
GPU 1     50.646            921692874               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        365184                      337447                      0                           0                           
GPU 2     54.795            1000062028              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        320199                      314908                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        47933                       230943                      0                           0                           
GPU 4     56.521            1030919644              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        373266                      343511                      0                           0                           
GPU 0     64.433            1270390488              N/A            N/A            22                2                 0.223        0.100        0.042        0.011        0.019        0.000        0.010        0.000        8578218                     51662718                    0                           0                           
GPU 1     50.646            921743586               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        273372                      276723                      0                           0                           
GPU 2     54.795            1000117008              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        279515                      286307                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        75001                       269896                      0                           0                           
GPU 4     56.521            1030976350              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        286717                      290884                      0                           0                           
GPU 0     61.827            1270454416              N/A            N/A            22                2                 0.222        0.100        0.042        0.011        0.019        0.000        0.010        0.000        8567484                     51335044                    0                           0                           
GPU 1     50.646            921794396               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        306358                      314559                      0                           0                           
GPU 2     54.795            1000172010              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        293438                      308042                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        83036                       271658                      0                           0                           
GPU 4     56.521            1031033061              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        317347                      320005                      0                           0                           
GPU 0     64.433            1270518283              N/A            N/A            22                2                 0.215        0.000        0.000        0.000        0.018        0.000        0.010        0.000        8331205                     49811215                    0                           0                           
